Area,Age,Year at 30 June,Sex,Value,Flags
"Manawatu-Wanganui region","10-14 Years","2014","Male",7910,
"Manawatu-Wanganui region","10-14 Years","2015","Male",7690,
"Manawatu-Wanganui region","10-14 Years","2006","Female",8670,
"Manawatu-Wanganui region","10-14 Years","2007","Female",8490,
"Manawatu-Wanganui region","10-14 Years","2008","Female",8270,
"Manawatu-Wanganui region","10-14 Years","2009","Female",8120,
"Manawatu-Wanganui region","10-14 Years","2010","Female",8020,
"Manawatu-Wanganui region","10-14 Years","2011","Female",8000,
"Manawatu-Wanganui region","10-14 Years","2012","Female",7830,
"Manawatu-Wanganui region","10-14 Years","2013","Female",7680,
"Manawatu-Wanganui region","10-14 Years","2014","Female",7600,
"Manawatu-Wanganui region","10-14 Years","2015","Female",7510,
"Otago region","10-14 Years","2006","Male",6360,
"Otago region","10-14 Years","2007","Male",6240,
"Otago region","10-14 Years","2008","Male",6200,
"Otago region","10-14 Years","2009","Male",6200,
"Otago region","10-14 Years","2010","Male",6200,
"Otago region","10-14 Years","2011","Male",6270,
"Otago region","10-14 Years","2012","Male",6280,
"Otago region","10-14 Years","2013","Male",6210,
"Otago region","10-14 Years","2014","Male",6180,
"Otago region","10-14 Years","2015","Male",6240,
"Otago region","10-14 Years","2006","Female",6030,
"Otago region","10-14 Years","2007","Female",5870,
"Otago region","10-14 Years","2008","Female",5810,
"Otago region","10-14 Years","2009","Female",5760,
"Otago region","10-14 Years","2010","Female",5790,
"Otago region","10-14 Years","2011","Female",5830,
"Otago region","10-14 Years","2012","Female",5870,
"Otago region","10-14 Years","2013","Female",5830,
"Otago region","10-14 Years","2014","Female",5870,
"Otago region","10-14 Years","2015","Female",5850,
"Southland region","10-14 Years","2006","Male",3730,
"Southland region","10-14 Years","2007","Male",3540,
"Southland region","10-14 Years","2008","Male",3410,
"Southland region","10-14 Years","2009","Male",3350,
"Southland region","10-14 Years","2010","Male",3360,
"Southland region","10-14 Years","2011","Male",3340,
"Southland region","10-14 Years","2012","Male",3370,
"Southland region","10-14 Years","2013","Male",3310,
"Southland region","10-14 Years","2014","Male",3280,
"Southland region","10-14 Years","2015","Male",3290,
"Southland region","10-14 Years","2006","Female",3310,
"Southland region","10-14 Years","2007","Female",3220,
"Southland region","10-14 Years","2008","Female",3190,
"Southland region","10-14 Years","2009","Female",3160,
"Southland region","10-14 Years","2010","Female",3210,
"Southland region","10-14 Years","2011","Female",3220,
"Southland region","10-14 Years","2012","Female",3190,
"Southland region","10-14 Years","2013","Female",3160,
"Southland region","10-14 Years","2014","Female",3140,
"Southland region","10-14 Years","2015","Female",3120,
"Northland region","15-19 Years","2006","Male",5840,
"Northland region","15-19 Years","2007","Male",5930,
"Northland region","15-19 Years","2008","Male",5920,
"Northland region","15-19 Years","2009","Male",5810,
"Northland region","15-19 Years","2010","Male",5850,
"Northland region","15-19 Years","2011","Male",5780,
"Northland region","15-19 Years","2012","Male",5720,
"Northland region","15-19 Years","2013","Male",5750,
"Northland region","15-19 Years","2014","Male",5760,
"Northland region","15-19 Years","2015","Male",5710,
"Northland region","15-19 Years","2006","Female",5450,
"Northland region","15-19 Years","2007","Female",5560,
"Northland region","15-19 Years","2008","Female",5590,
"Northland region","15-19 Years","2009","Female",5600,
"Northland region","15-19 Years","2010","Female",5510,
"Northland region","15-19 Years","2011","Female",5460,
"Northland region","15-19 Years","2012","Female",5370,
"Northland region","15-19 Years","2013","Female",5300,
"Northland region","15-19 Years","2014","Female",5310,
"Northland region","15-19 Years","2015","Female",5330,
"Auckland region","15-19 Years","2006","Male",53090,
"Auckland region","15-19 Years","2007","Male",53520,
"Auckland region","15-19 Years","2008","Male",54220,
"Auckland region","15-19 Years","2009","Male",54650,
"Auckland region","15-19 Years","2010","Male",55430,
"Auckland region","15-19 Years","2011","Male",55690,
"Auckland region","15-19 Years","2012","Male",55740,
"Auckland region","15-19 Years","2013","Male",55460,
"Auckland region","15-19 Years","2014","Male",55860,
"Auckland region","15-19 Years","2015","Male",56830,
"Auckland region","15-19 Years","2006","Female",51690,
"Auckland region","15-19 Years","2007","Female",52290,
"Auckland region","15-19 Years","2008","Female",52780,
"Auckland region","15-19 Years","2009","Female",53880,
"Auckland region","15-19 Years","2010","Female",54620,
"Auckland region","15-19 Years","2011","Female",54290,
"Auckland region","15-19 Years","2012","Female",54070,
"Auckland region","15-19 Years","2013","Female",53290,
"Auckland region","15-19 Years","2014","Female",53030,
"Auckland region","15-19 Years","2015","Female",53450,
"Waikato region","15-19 Years","2006","Male",15250,
"Waikato region","15-19 Years","2007","Male",15480,
"Waikato region","15-19 Years","2008","Male",15530,
"Waikato region","15-19 Years","2009","Male",15560,
"Waikato region","15-19 Years","2010","Male",15570,
"Waikato region","15-19 Years","2011","Male",15580,
"Waikato region","15-19 Years","2012","Male",15540,
"Waikato region","15-19 Years","2013","Male",15750,
"Waikato region","15-19 Years","2014","Male",15930,
"Waikato region","15-19 Years","2015","Male",16130,
"Waikato region","15-19 Years","2006","Female",14890,
"Waikato region","15-19 Years","2007","Female",15270,
"Waikato region","15-19 Years","2008","Female",15370,
"Waikato region","15-19 Years","2009","Female",15120,
"Waikato region","15-19 Years","2010","Female",14850,
"Waikato region","15-19 Years","2011","Female",14620,
"Waikato region","15-19 Years","2012","Female",14530,
"Waikato region","15-19 Years","2013","Female",14710,
"Waikato region","15-19 Years","2014","Female",15030,
"Waikato region","15-19 Years","2015","Female",15150,
"Bay of Plenty region","15-19 Years","2006","Male",9840,
"Bay of Plenty region","15-19 Years","2007","Male",9950,
"Bay of Plenty region","15-19 Years","2008","Male",9990,
"Bay of Plenty region","15-19 Years","2009","Male",9890,
"Bay of Plenty region","15-19 Years","2010","Male",9780,
"Bay of Plenty region","15-19 Years","2011","Male",9630,
"Bay of Plenty region","15-19 Years","2012","Male",9540,
"Bay of Plenty region","15-19 Years","2013","Male",9670,
"Bay of Plenty region","15-19 Years","2014","Male",9930,
"Bay of Plenty region","15-19 Years","2015","Male",10190,
"Bay of Plenty region","15-19 Years","2006","Female",9360,
"Bay of Plenty region","15-19 Years","2007","Female",9560,
"Bay of Plenty region","15-19 Years","2008","Female",9620,
"Bay of Plenty region","15-19 Years","2009","Female",9530,
"Bay of Plenty region","15-19 Years","2010","Female",9340,
"Bay of Plenty region","15-19 Years","2011","Female",9130,
"Bay of Plenty region","15-19 Years","2012","Female",9010,
"Bay of Plenty region","15-19 Years","2013","Female",9040,
"Bay of Plenty region","15-19 Years","2014","Female",9020,
"Bay of Plenty region","15-19 Years","2015","Female",9080,
"Gisborne region","15-19 Years","2006","Male",1900,
"Gisborne region","15-19 Years","2007","Male",1910,
"Gisborne region","15-19 Years","2008","Male",1920,
"Gisborne region","15-19 Years","2009","Male",1860,
"Gisborne region","15-19 Years","2010","Male",1830,
"Gisborne region","15-19 Years","2011","Male",1820,
"Gisborne region","15-19 Years","2012","Male",1760,
"Gisborne region","15-19 Years","2013","Male",1770,
"Gisborne region","15-19 Years","2014","Male",1770,
"Gisborne region","15-19 Years","2015","Male",1770,
"Gisborne region","15-19 Years","2006","Female",1770,
"Gisborne region","15-19 Years","2007","Female",1810,
"Gisborne region","15-19 Years","2008","Female",1860,
"Gisborne region","15-19 Years","2009","Female",1780,
"Gisborne region","15-19 Years","2010","Female",1750,
"Gisborne region","15-19 Years","2011","Female",1710,
"Gisborne region","15-19 Years","2012","Female",1700,
"Gisborne region","15-19 Years","2013","Female",1680,
"Gisborne region","15-19 Years","2014","Female",1650,
"Gisborne region","15-19 Years","2015","Female",1610,
"Hawke's Bay region","15-19 Years","2006","Male",5740,
"Hawke's Bay region","15-19 Years","2007","Male",5710,
"Hawke's Bay region","15-19 Years","2008","Male",5640,
"Hawke's Bay region","15-19 Years","2009","Male",5530,
"Hawke's Bay region","15-19 Years","2010","Male",5510,
"Hawke's Bay region","15-19 Years","2011","Male",5570,
"Hawke's Bay region","15-19 Years","2012","Male",5590,
"Hawke's Bay region","15-19 Years","2013","Male",5700,
"Hawke's Bay region","15-19 Years","2014","Male",5710,
"Hawke's Bay region","15-19 Years","2015","Male",5750,
"Hawke's Bay region","15-19 Years","2006","Female",5640,
"Hawke's Bay region","15-19 Years","2007","Female",5730,
"Hawke's Bay region","15-19 Years","2008","Female",5660,
"Hawke's Bay region","15-19 Years","2009","Female",5510,
"Hawke's Bay region","15-19 Years","2010","Female",5340,
"Hawke's Bay region","15-19 Years","2011","Female",5210,
"Hawke's Bay region","15-19 Years","2012","Female",5160,
"Hawke's Bay region","15-19 Years","2013","Female",5220,
"Hawke's Bay region","15-19 Years","2014","Female",5260,
"Hawke's Bay region","15-19 Years","2015","Female",5360,
"Taranaki region","15-19 Years","2006","Male",4150,
"Taranaki region","15-19 Years","2007","Male",4190,
"Taranaki region","15-19 Years","2008","Male",4110,
"Taranaki region","15-19 Years","2009","Male",4060,
"Taranaki region","15-19 Years","2010","Male",3960,
"Taranaki region","15-19 Years","2011","Male",3810,
"Taranaki region","15-19 Years","2012","Male",3740,
"Taranaki region","15-19 Years","2013","Male",3770,
"Taranaki region","15-19 Years","2014","Male",3770,
"Taranaki region","15-19 Years","2015","Male",3850,
"Taranaki region","15-19 Years","2006","Female",3880,
"Taranaki region","15-19 Years","2007","Female",3990,
"Taranaki region","15-19 Years","2008","Female",3910,
"Taranaki region","15-19 Years","2009","Female",3770,
"Taranaki region","15-19 Years","2010","Female",3620,
"Taranaki region","15-19 Years","2011","Female",3510,
"Taranaki region","15-19 Years","2012","Female",3470,
"Taranaki region","15-19 Years","2013","Female",3510,
"Taranaki region","15-19 Years","2014","Female",3580,
"Taranaki region","15-19 Years","2015","Female",3610,
"Manawatu-Wanganui region","15-19 Years","2006","Male",9270,
"Manawatu-Wanganui region","15-19 Years","2007","Male",9170,
"Manawatu-Wanganui region","15-19 Years","2008","Male",9050,
"Manawatu-Wanganui region","15-19 Years","2009","Male",8890,
"Manawatu-Wanganui region","15-19 Years","2010","Male",8750,
"Manawatu-Wanganui region","15-19 Years","2011","Male",8700,
"Manawatu-Wanganui region","15-19 Years","2012","Male",8650,
"Manawatu-Wanganui region","15-19 Years","2013","Male",8550,
"Manawatu-Wanganui region","15-19 Years","2014","Male",8750,
"Manawatu-Wanganui region","15-19 Years","2015","Male",8730,
"Manawatu-Wanganui region","15-19 Years","2006","Female",9020,
"Manawatu-Wanganui region","15-19 Years","2007","Female",8980,
"Manawatu-Wanganui region","15-19 Years","2008","Female",8930,
"Manawatu-Wanganui region","15-19 Years","2009","Female",8740,
"Manawatu-Wanganui region","15-19 Years","2010","Female",8660,
"Manawatu-Wanganui region","15-19 Years","2011","Female",8470,
"Manawatu-Wanganui region","15-19 Years","2012","Female",8370,
"Manawatu-Wanganui region","15-19 Years","2013","Female",8300,
"Manawatu-Wanganui region","15-19 Years","2014","Female",8230,
"Manawatu-Wanganui region","15-19 Years","2015","Female",8190,
"Otago region","15-19 Years","2006","Male",8120,
"Otago region","15-19 Years","2007","Male",8080,
"Otago region","15-19 Years","2008","Male",7950,
"Otago region","15-19 Years","2009","Male",7850,
"Otago region","15-19 Years","2010","Male",7870,
"Otago region","15-19 Years","2011","Male",7960,
"Otago region","15-19 Years","2012","Male",8010,
"Otago region","15-19 Years","2013","Male",8080,
"Otago region","15-19 Years","2014","Male",8100,
"Otago region","15-19 Years","2015","Male",8200,
"Otago region","15-19 Years","2006","Female",8290,
"Otago region","15-19 Years","2007","Female",8340,
"Otago region","15-19 Years","2008","Female",8390,
"Otago region","15-19 Years","2009","Female",8410,
"Otago region","15-19 Years","2010","Female",8490,
"Otago region","15-19 Years","2011","Female",8490,
"Otago region","15-19 Years","2012","Female",8530,
"Otago region","15-19 Years","2013","Female",8570,
"Otago region","15-19 Years","2014","Female",8500,
"Otago region","15-19 Years","2015","Female",8260,
"Southland region","15-19 Years","2006","Male",3450,
"Southland region","15-19 Years","2007","Male",3450,
"Southland region","15-19 Years","2008","Male",3460,
"Southland region","15-19 Years","2009","Male",3420,
"Southland region","15-19 Years","2010","Male",3380,
"Southland region","15-19 Years","2011","Male",3370,
"Southland region","15-19 Years","2012","Male",3290,
"Southland region","15-19 Years","2013","Male",3220,
"Southland region","15-19 Years","2014","Male",3190,
"Southland region","15-19 Years","2015","Male",3130,
"Southland region","15-19 Years","2006","Female",3170,
"Southland region","15-19 Years","2007","Female",3270,
"Southland region","15-19 Years","2008","Female",3260,
"Southland region","15-19 Years","2009","Female",3170,
"Southland region","15-19 Years","2010","Female",3040,
"Southland region","15-19 Years","2011","Female",2980,
"Southland region","15-19 Years","2012","Female",2960,
"Southland region","15-19 Years","2013","Female",2980,
"Southland region","15-19 Years","2014","Female",2920,
"Southland region","15-19 Years","2015","Female",2910,
"Northland region","20-24 Years","2006","Male",3610,
"Northland region","20-24 Years","2007","Male",3750,
"Northland region","20-24 Years","2008","Male",3820,
"Northland region","20-24 Years","2009","Male",3980,
"Northland region","20-24 Years","2010","Male",4100,
"Northland region","20-24 Years","2011","Male",4180,
"Northland region","20-24 Years","2012","Male",4140,
"Northland region","20-24 Years","2013","Male",4190,
"Northland region","20-24 Years","2014","Male",4330,
"Northland region","20-24 Years","2015","Male",4650,
"Northland region","20-24 Years","2006","Female",3440,
"Northland region","20-24 Years","2007","Female",3510,
"Northland region","20-24 Years","2008","Female",3680,
"Northland region","20-24 Years","2009","Female",3870,
"Northland region","20-24 Years","2010","Female",4070,
"Northland region","20-24 Years","2011","Female",4170,
"Northland region","20-24 Years","2012","Female",4230,
"Northland region","20-24 Years","2013","Female",4190,
"Northland region","20-24 Years","2014","Female",4240,
"Northland region","20-24 Years","2015","Female",4290,
"Auckland region","20-24 Years","2006","Male",53540,
"Auckland region","20-24 Years","2007","Male",52620,
