"Permanent & long-term migration by age, sex and NZ area (Annual-Dec)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Arrivals","","","","","","","","","","","","","","","","","","","","","","","",""
" "," ","20-24 years",98,75,143,171,225,457,395,371,449,658,1115,1511,1305,1129,967,1052,1041,1217,1411,1529,1741,1704,1877,2166,2432
" "," ","25-29 years",128,97,240,293,534,903,751,575,554,640,902,1137,1002,895,905,998,1036,1104,1133,1216,1436,1460,1675,1892,2216
" "," ","30-34 years",79,49,230,297,616,935,564,387,362,387,620,859,700,485,433,422,403,420,368,369,442,472,550,639,772
" "," ","35-39 years",68,45,225,253,432,609,327,278,242,258,459,616,400,296,282,281,237,227,172,155,191,200,198,239,300
" "," ","40-44 years",61,28,148,181,240,339,216,158,141,156,269,398,270,200,197,189,176,134,117,107,129,130,123,155,145
" "," ","45-49 years",31,22,55,80,113,160,105,95,92,90,175,197,141,118,119,111,103,86,65,73,96,89,81,97,94
" "," ","50-54 years",11,14,24,24,39,65,75,81,60,74,85,104,85,59,76,83,71,58,53,73,77,91,97,85,89
" "," ","55-59 years",10,6,11,17,20,32,72,92,60,60,68,59,53,51,59,61,70,53,49,78,105,132,135,128,123
" "," ","60-64 years",11,6,11,14,22,48,65,63,57,71,74,80,41,54,52,44,46,44,42,62,67,91,73,100,110
" "," ","65-69 years",3,6,13,9,10,32,39,24,26,28,46,46,39,35,35,33,40,32,39,35,38,47,45,48,61
" "," ","70-74 years",2,2,5,7,4,27,21,15,22,17,20,33,15,27,25,24,21,17,23,26,35,27,28,27,32
" "," ","75 years and over",6,5,7,10,22,26,20,19,17,14,21,18,9,29,18,28,21,13,19,17,23,33,29,30,26
"Male","Far North District","0-4 years",27,12,15,11,18,13,14,14,13,16,15,16,11,23,20,9,21,14,27,26,23,13,16,8,13
" "," ","5-9 years",13,12,16,10,11,20,17,16,9,11,15,17,13,8,24,26,24,9,21,20,20,17,16,20,16
" "," ","10-14 years",11,10,8,8,17,17,16,6,12,14,9,13,11,18,18,12,13,16,16,10,16,12,18,23,22
" "," ","15-19 years",18,17,21,11,21,19,5,8,14,10,12,11,12,23,21,19,15,17,14,22,15,21,13,20,19
" "," ","20-24 years",32,27,29,19,16,18,23,16,20,26,19,21,27,31,19,21,33,26,43,28,30,27,30,38,33
" "," ","25-29 years",40,38,31,41,39,33,32,19,35,27,34,32,42,36,31,48,45,40,39,43,41,27,35,31,43
" "," ","30-34 years",29,25,21,20,33,25,11,16,22,18,24,26,25,32,26,29,26,37,32,27,24,17,18,27,25
" "," ","35-39 years",17,16,8,27,21,22,22,16,16,7,16,20,19,20,22,27,26,20,20,18,19,9,16,10,23
" "," ","40-44 years",20,12,14,11,14,18,13,9,11,10,14,12,13,18,27,25,19,21,18,16,21,14,16,12,23
" "," ","45-49 years",11,12,14,12,10,17,15,9,10,2,15,16,12,14,14,16,14,9,11,15,14,11,12,16,7
" "," ","50-54 years",4,9,8,8,11,7,7,8,12,16,9,11,15,15,12,8,12,6,11,8,11,7,13,17,12
" "," ","55-59 years",6,5,9,6,4,8,7,11,11,5,12,16,17,17,11,12,17,14,15,12,11,10,11,22,21
" "," ","60-64 years",7,6,3,9,7,4,7,4,6,10,6,8,6,7,11,4,6,9,9,20,10,12,14,16,15
" "," ","65-69 years",1,4,2,4,0,6,7,3,1,4,2,4,7,6,6,6,1,3,5,11,12,7,17,11,8
" "," ","70-74 years",2,0,4,1,0,2,2,1,1,1,3,2,3,4,1,2,4,2,1,1,1,6,0,7,4
" "," ","75 years and over",3,0,0,1,1,3,1,1,1,1,0,3,4,3,1,1,2,2,1,1,5,3,5,0,3
" ","Whangarei District","0-4 years",29,34,23,42,39,32,28,23,18,19,22,26,32,36,34,24,28,33,32,23,37,32,38,38,48
" "," ","5-9 years",24,14,20,16,23,12,24,20,10,17,19,29,48,28,28,27,20,31,20,30,25,21,23,26,40
" "," ","10-14 years",12,15,14,25,19,10,24,13,21,18,13,20,37,26,28,23,36,23,11,17,18,20,16,25,23
" "," ","15-19 years",23,22,25,27,41,26,39,24,17,22,36,29,35,38,31,28,60,37,48,40,30,34,36,35,45
" "," ","20-24 years",43,62,32,52,39,42,33,28,32,26,58,39,40,36,49,43,39,59,57,30,32,35,45,49,52
" "," ","25-29 years",72,48,38,54,73,73,70,45,70,64,71,79,74,64,53,52,62,71,64,71,52,58,65,59,91
" "," ","30-34 years",29,42,45,54,45,44,35,26,34,38,38,50,57,49,53,52,52,69,44,46,41,35,50,47,61
" "," ","35-39 years",16,22,33,24,30,19,26,22,20,23,26,32,47,32,43,36,37,47,38,36,26,25,30,36,42
" "," ","40-44 years",19,12,20,33,20,22,13,11,13,25,24,25,42,27,34,26,37,40,22,24,19,21,26,24,38
" "," ","45-49 years",12,11,13,28,20,21,26,12,13,16,18,29,25,21,28,31,20,25,27,23,12,14,32,24,27
" "," ","50-54 years",10,13,9,12,11,5,12,9,12,19,14,19,14,29,15,17,18,19,20,16,14,14,16,24,19
" "," ","55-59 years",5,9,7,12,1,7,9,12,15,11,12,15,14,13,15,6,12,14,16,8,19,23,10,25,30
" "," ","60-64 years",2,2,4,5,4,4,8,5,6,3,9,12,10,13,15,9,16,12,14,16,12,17,18,14,21
" "," ","65-69 years",3,4,2,4,5,2,3,4,6,3,6,1,4,10,8,6,6,10,7,12,7,6,13,15,12
" "," ","70-74 years",3,2,2,4,2,0,1,0,2,2,2,3,4,2,5,2,4,4,5,7,6,3,3,4,6
" "," ","75 years and over",1,2,4,7,2,2,3,2,1,5,1,3,1,4,1,1,8,1,5,2,2,4,5,6,2
" ","Kaipara District","0-4 years",9,9,7,8,2,5,8,4,6,3,0,4,3,5,5,3,4,5,6,7,5,4,8,13,10
" "," ","5-9 years",6,2,3,7,3,8,6,2,4,4,2,7,1,5,4,0,6,2,3,9,2,3,4,9,5
" "," ","10-14 years",2,5,2,2,2,2,2,4,3,2,3,2,3,7,3,4,3,4,3,7,1,2,0,2,5
" "," ","15-19 years",2,3,0,1,4,6,2,2,2,2,3,1,7,4,2,4,6,6,5,3,3,2,10,9,3
" "," ","20-24 years",12,4,15,7,7,12,8,4,7,10,7,7,5,4,8,4,5,8,11,4,3,16,12,14,19
" "," ","25-29 years",11,10,18,15,9,16,12,11,9,11,15,15,5,10,10,10,12,12,16,12,11,7,14,19,18
" "," ","30-34 years",11,8,10,8,12,7,2,6,11,4,10,10,15,7,14,3,5,7,10,7,12,5,9,12,16
" "," ","35-39 years",4,6,6,4,1,5,5,2,4,4,5,4,8,5,8,3,3,5,5,7,7,4,4,11,8
" "," ","40-44 years",2,1,1,2,3,2,4,3,4,1,4,9,6,10,4,2,4,5,2,5,5,2,4,6,4
" "," ","45-49 years",2,1,1,1,2,4,2,2,2,1,3,3,0,5,3,0,1,3,2,3,1,2,0,4,6
" "," ","50-54 years",1,1,1,0,2,1,1,1,4,2,3,0,1,1,4,0,1,5,2,3,0,0,4,9,4
" "," ","55-59 years",0,3,0,0,1,1,0,2,2,1,0,2,3,2,3,1,2,4,5,3,1,0,8,7,4
" "," ","60-64 years",0,0,2,2,0,0,0,1,0,2,1,1,0,2,4,3,2,1,3,4,3,1,2,4,3
" "," ","65-69 years",0,0,1,0,0,0,1,0,0,0,0,0,2,1,0,2,1,2,2,2,2,2,3,2,2
" "," ","70-74 years",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
" "," ","75 years and over",0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,2,0,1,1
" ","Rodney District (to 10.2010)","0-4 years",26,23,29,34,37,25,17,24,25,18,27,46,53,49,45,37,32,33,52,32,0,0,0,0,0
" "," ","5-9 years",20,16,24,20,29,25,23,25,22,25,26,48,34,36,43,46,36,25,35,31,0,0,0,0,0
" "," ","10-14 years",13,24,18,25,31,27,19,18,19,38,18,36,24,29,38,57,40,34,35,37,0,0,0,0,0
" "," ","15-19 years",16,25,35,33,33,36,35,21,32,34,35,46,30,26,52,37,36,46,46,39,0,0,0,0,0
" "," ","20-24 years",50,45,47,29,34,38,29,30,38,27,26,32,37,31,46,36,41,53,56,35,0,0,0,0,0
" "," ","25-29 years",54,69,60,69,72,70,44,60,80,59,64,81,77,80,80,60,70,75,81,46,0,0,0,0,0
" "," ","30-34 years",44,38,36,37,41,46,40,34,40,40,63,67,64,62,75,58,57,70,62,55,0,0,0,0,0
" "," ","35-39 years",28,24,33,40,38,42,27,28,31,28,36,42,45,55,54,68,50,44,49,46,0,0,0,0,0
" "," ","40-44 years",17,30,28,33,34,26,27,22,17,28,25,41,45,45,40,49,58,37,43,38,0,0,0,0,0
" "," ","45-49 years",14,13,15,20,19,32,24,11,18,7,15,21,22,18,35,27,37,31,22,26,0,0,0,0,0
" "," ","50-54 years",9,15,13,8,12,11,10,17,10,11,15,20,15,21,17,27,21,21,17,13,0,0,0,0,0
" "," ","55-59 years",3,5,9,16,11,8,10,6,7,8,11,8,9,18,20,15,17,24,20,11,0,0,0,0,0
" "," ","60-64 years",4,5,5,3,3,4,7,7,7,10,11,15,9,9,8,18,16,16,18,16,0,0,0,0,0
" "," ","65-69 years",3,10,5,9,5,6,7,3,1,6,5,9,8,10,8,9,14,13,13,9,0,0,0,0,0
" "," ","70-74 years",4,6,3,5,1,3,5,2,4,1,4,2,3,9,2,4,4,7,10,7,0,0,0,0,0
" "," ","75 years and over",2,4,3,4,2,2,1,4,4,4,1,4,7,6,6,10,7,7,7,3,0,0,0,0,0
" ","North Shore City (to 10.2010)","0-4 years",107,88,154,179,233,171,155,114,103,94,143,163,148,160,139,178,179,144,167,120,0,0,0,0,0
" "," ","5-9 years",95,117,141,172,210,189,150,138,129,125,152,211,171,182,148,192,189,167,151,120,0,0,0,0,0
" "," ","10-14 years",82,126,127,189,234,205,157,126,120,138,163,191,156,149,163,199,203,183,159,130,0,0,0,0,0
" "," ","15-19 years",155,185,204,246,276,244,213,150,119,192,252,283,217,233,192,225,224,252,267,214,0,0,0,0,0
" "," ","20-24 years",211,197,199,206,203,206,179,157,155,157,186,246,266,235,217,242,261,282,305,299,0,0,0,0,0
" "," ","25-29 years",269,236,285,278,347,337,260,253,266,276,281,326,284,332,272,322,280,300,353,265,0,0,0,0,0
" "," ","30-34 years",158,155,238,258,327,279,227,170,160,185,203,264,275,289,276,299,251,245,235,161,0,0,0,0,0
" "," ","35-39 years",109,117,204,191,278,246,245,159,148,171,201,244,209,191,209,256,210,224,205,128,0,0,0,0,0
" "," ","40-44 years",105,122,135,173,227,196,174,127,110,118,172,207,170,176,168,192,189,165,145,121,0,0,0,0,0
" "," ","45-49 years",80,93,121,141,180,145,127,133,97,88,110,118,118,129,72,133,109,112,106,77,0,0,0,0,0
" "," ","50-54 years",40,52,60,66,75,75,76,74,48,64,65,75,58,71,68,73,76,78,90,74,0,0,0,0,0
" "," ","55-59 years",29,41,38,50,42,46,43,37,44,35,48,65,47,57,49,67,61,72,60,67,0,0,0,0,0
" "," ","60-64 years",20,17,32,25,33,19,40,39,28,31,31,42,47,41,40,51,61,57,70,60,0,0,0,0,0
" "," ","65-69 years",27,26,17,23,17,20,27,28,22,30,34,37,24,30,37,41,41,44,44,43,0,0,0,0,0
" "," ","70-74 years",9,13,14,16,10,16,17,14,21,9,11,24,17,16,18,19,23,28,33,20,0,0,0,0,0
" "," ","75 years and over",5,9,7,15,26,9,18,10,13,14,17,23,19,16,13,19,19,17,22,18,0,0,0,0,0
" ","Waitakere City (to 10.2010)","0-4 years",81,62,92,93,131,117,86,92,63,79,70,98,87,84,106,114,97,128,123,88,0,0,0,0,0
" "," ","5-9 years",54,51,55,82,125,94,97,57,72,71,81,113,87,95,116,118,82,108,85,61,0,0,0,0,0
" "," ","10-14 years",62,64,69,86,113,85,86,67,54,71,75,107,108,109,83,113,104,104,86,72,0,0,0,0,0
" "," ","15-19 years",74,65,107,137,150,136,107,76,75,142,181,212,142,125,105,107,140,132,162,115,0,0,0,0,0
" "," ","20-24 years",126,107,101,104,116,107,108,87,94,88,106,139,154,133,128,132,147,152,169,142,0,0,0,0,0
" "," ","25-29 years",168,122,139,156,199,170,151,127,135,147,164,171,119,186,160,191,162,173,201,132,0,0,0,0,0
" "," ","30-34 years",107,94,112,133,176,151,140,113,113,99,122,178,165,139,154,133,132,160,155,92,0,0,0,0,0
" "," ","35-39 years",63,57,86,87,129,146,104,77,104,84,104,126,115,118,127,134,125,120,104,81,0,0,0,0,0
" "," ","40-44 years",55,56,52,76,113,94,92,68,54,79,70,117,95,82,103,105,108,82,88,61,0,0,0,0,0
" "," ","45-49 years",35,35,41,64,66,57,63,39,31,25,52,64,59,69,47,60,59,64,49,40,0,0,0,0,0
" "," ","50-54 years",27,19,29,28,29,44,37,38,25,22,32,43,36,34,34,37,49,36,42,28,0,0,0,0,0
" "," ","55-59 years",18,24,24,20,31,23,28,26,23,28,27,33,17,39,27,35,37,41,35,35,0,0,0,0,0
" "," ","60-64 years",12,17,21,17,12,14,31,27,26,29,24,29,26,22,28,39,42,43,46,36,0,0,0,0,0
" "," ","65-69 years",7,13,5,12,12,14,10,14,13,24,24,17,16,18,29,22,29,29,25,20,0,0,0,0,0
" "," ","70-74 years",6,2,6,6,8,6,7,7,12,13,11,10,8,11,10,13,15,20,22,4,0,0,0,0,0
" "," ","75 years and over",6,6,3,8,10,14,6,3,7,7,9,9,6,11,9,9,13,11,16,11,0,0,0,0,0
" ","Auckland City (to 10.2010)","0-4 years",349,367,448,635,873,734,563,483,515,469,545,688,635,497,497,488,486,457,422,313,0,0,0,0,0
" "," ","5-9 years",339,334,464,631,898,668,541,508,549,474,630,739,732,507,462,418,415,359,325,259,0,0,0,0,0
" "," ","10-14 years",412,411,527,641,818,688,498,437,467,399,672,843,732,532,440,426,370,373,344,247,0,0,0,0,0
" "," ","15-19 years",457,461,555,719,852,714,586,443,701,820,1430,1740,1427,906,702,736,820,945,1035,894,0,0,0,0,0
" "," ","20-24 years",547,510,480,623,707,746,630,552,709,878,1261,1700,1827,1321,1158,1207,1374,1919,2181,1897,0,0,0,0,0
" "," ","25-29 years",697,756,821,1024,1439,1292,1071,923,1206,1100,1371,1674,1626,1292,1313,1451,1483,1742,1870,1516,0,0,0,0,0
" "," ","30-34 years",518,577,772,1008,1563,1323,960,776,810,819,1171,1477,1303,991,831,969,1009,982,870,754,0,0,0,0,0
" "," ","35-39 years",418,479,601,789,1149,955,700,660,748,618,884,1097,1036,673,664,720,674,624,536,406,0,0,0,0,0
" "," ","40-44 years",376,427,504,701,897,777,579,509,541,500,673,876,797,547,489,542,509,436,365,319,0,0,0,0,0
" "," ","45-49 years",221,265,340,482,564,545,378,362,353,307,468,568,523,394,350,288,343,315,280,223,0,0,0,0,0
" "," ","50-54 years",140,169,206,225,300,268,239,247,275,225,304,339,305,210,187,178,171,210,189,160,0,0,0,0,0
" "," ","55-59 years",91,89,108,138,182,199,202,173,206,154,204,183,203,143,157,148,164,163,154,125,0,0,0,0,0
" "," ","60-64 years",61,44,66,88,110,116,133,194,168,159,163,178,140,99,99,118,152,126,135,99,0,0,0,0,0
" "," ","65-69 years",35,30,48,45,78,81,91,111,110,92,114,116,95,81,94,98,92,92,77,58,0,0,0,0,0
" "," ","70-74 years",21,22,28,31,33,43,52,47,53,43,66,70,53,55,46,53,64,46,54,43,0,0,0,0,0
" "," ","75 years and over",19,19,29,27,54,57,31,33,36,41,38,49,41,42,40,34,40,34,47,27,0,0,0,0,0
" ","Manukau City (to 10.2010)","0-4 years",194,173,202,245,320,258,246,220,168,220,190,238,229,232,282,289,330,331,281,204,0,0,0,0,0
" "," ","5-9 years",177,138,192,239,335,260,248,205,178,223,217,312,252,230,270,281,285,282,288,193,0,0,0,0,0
" "," ","10-14 years",186,182,219,250,326,252,229,193,164,198,247,291,257,264,270,300,305,342,293,232,0,0,0,0,0
" "," ","15-19 years",253,211,247,225,279,269,233,193,208,254,331,351,346,294,327,314,359,476,516,409,0,0,0,0,0
" "," ","20-24 years",252,209,232,239,265,278,260,187,171,240,256,348,315,293,311,291,312,458,521,388,0,0,0,0,0
" "," ","25-29 years",276,262,288,294,338,342,304,310,280,288,317,338,320,293,333,325,308,402,430,306,0,0,0,0,0
" "," ","30-34 years",211,172,203,244,299,297,266,227,189,264,284,375,315,274,291,317,269,307,269,211,0,0,0,0,0
" "," ","35-39 years",177,134,195,241,297,267,274,217,154,201,269,305,252,243,257,248,278,288,255,167,0,0,0,0,0
" "," ","40-44 years",172,157,158,174,254,245,199,179,128,165,197,259,216,195,213,237,191,224,196,136,0,0,0,0,0
" "," ","45-49 years",104,81,162,163,196,195,167,155,109,101,155,187,141,147,144,140,126,146,162,106,0,0,0,0,0
" "," ","50-54 years",70,68,72,75,118,90,108,105,85,82,100,102,104,92,86,79,101,112,114,100,0,0,0,0,0
" "," ","55-59 years",50,43,54,39,59,80,76,64,68,64,72,61,69,86,75,82,93,86,92,77,0,0,0,0,0
" "," ","60-64 years",32,22,36,40,39,48,63,61,50,58,65,47,47,57,66,60,69,83,104,84,0,0,0,0,0
" "," ","65-69 years",22,25,23,23,21,41,38,46,36,38,31,34,36,45,59,55,39,53,46,47,0,0,0,0,0
" "," ","70-74 years",14,20,19,18,21,19,20,15,21,26,24,31,24,30,28,28,33,42,34,34,0,0,0,0,0
" "," ","75 years and over",13,7,8,20,22,19,12,11,13,20,17,11,20,18,20,19,27,41,35,27,0,0,0,0,0
" ","Papakura District (to 10.2010)","0-4 years",17,16,24,21,31,24,23,8,18,17,13,19,15,16,21,22,33,18,25,10,0,0,0,0,0
" "," ","5-9 years",21,14,17,16,27,21,21,7,14,19,6,18,14,11,23,16,40,24,14,14,0,0,0,0,0
" "," ","10-14 years",14,18,15,18,22,15,13,12,9,19,7,15,16,11,27,23,20,14,17,9,0,0,0,0,0
" "," ","15-19 years",27,26,25,13,24,23,16,15,17,32,30,30,38,26,25,34,27,34,48,36,0,0,0,0,0
" "," ","20-24 years",50,25,38,41,33,41,18,26,24,22,26,30,26,19,28,32,30,32,45,32,0,0,0,0,0
" "," ","25-29 years",40,48,50,39,38,43,46,41,47,38,47,57,42,38,44,45,47,59,47,19,0,0,0,0,0
" "," ","30-34 years",16,31,31,39,36,23,30,13,22,22,26,39,41,42,34,38,40,29,38,22,0,0,0,0,0
" "," ","35-39 years",19,17,22,17,26,24,24,13,21,28,14,22,17,22,27,30,29,36,17,18,0,0,0,0,0
" "," ","40-44 years",20,15,14,19,23,19,16,18,13,20,12,27,20,15,24,23,16,18,24,15,0,0,0,0,0
" "," ","45-49 years",8,13,7,7,13,13,9,8,7,15,7,13,8,11,19,23,15,12,3,4,0,0,0,0,0
" "," ","50-54 years",3,9,13,7,9,8,6,7,6,9,5,8,9,12,6,9,12,6,5,3,0,0,0,0,0
" "," ","55-59 years",4,7,4,6,8,5,7,1,6,3,8,6,6,7,3,10,8,10,16,7,0,0,0,0,0
" "," ","60-64 years",2,5,7,3,3,2,6,4,2,3,2,3,2,5,6,5,11,8,9,6,0,0,0,0,0
" "," ","65-69 years",1,1,0,2,2,2,1,3,0,4,2,2,4,5,7,4,7,4,7,7,0,0,0,0,0
" "," ","70-74 years",3,0,0,2,0,0,1,2,2,2,2,4,3,0,2,0,2,3,1,2,0,0,0,0,0
" "," ","75 years and over",2,1,3,6,1,6,4,0,2,2,3,1,2,2,1,0,1,2,4,3,0,0,0,0,0
" ","Franklin District (to 10.2010)","0-4 years",15,24,19,21,21,16,12,14,12,12,9,12,18,15,25,27,19,24,17,19,0,0,0,0,0
" "," ","5-9 years",8,7,14,18,17,18,15,8,8,11,15,19,17,21,14,16,27,17,21,6,0,0,0,0,0
" "," ","10-14 years",11,8,16,10,5,20,17,11,7,7,15,24,15,14,19,17,25,24,12,15,0,0,0,0,0
" "," ","15-19 years",20,19,28,34,29,33,38,22,12,27,29,25,24,19,23,23,24,15,23,16,0,0,0,0,0
" "," ","20-24 years",30,28,22,21,41,27,19,21,28,16,27,21,28,24,28,24,31,34,27,20,0,0,0,0,0
" "," ","25-29 years",37,36,47,38,35,33,34,31,32,45,50,46,51,47,47,48,42,50,55,37,0,0,0,0,0
" "," ","30-34 years",16,22,25,27,30,25,21,28,21,15,26,25,30,36,47,41,34,41,19,22,0,0,0,0,0
" "," ","35-39 years",8,13,22,16,15,13,17,17,14,17,14,31,28,24,29,27,36,25,24,13,0,0,0,0,0
" "," ","40-44 years",11,5,3,20,15,19,11,11,6,13,9,14,16,22,19,20,29,21,15,11,0,0,0,0,0
" "," ","45-49 years",6,3,8,14,5,14,8,5,13,2,7,14,12,8,13,8,14,12,7,8,0,0,0,0,0
" "," ","50-54 years",4,5,4,11,2,4,17,8,11,11,12,12,10,7,15,14,8,9,11,7,0,0,0,0,0
" "," ","55-59 years",2,3,0,7,3,4,6,2,3,2,3,6,8,3,4,8,5,3,10,6,0,0,0,0,0
" "," ","60-64 years",2,3,6,2,2,2,2,3,3,3,2,8,3,6,9,9,6,4,8,4,0,0,0,0,0
" "," ","65-69 years",1,2,3,1,0,1,4,2,2,6,3,3,2,7,1,11,6,5,5,7,0,0,0,0,0
" "," ","70-74 years",1,1,2,4,0,0,2,3,3,3,1,2,2,3,2,5,2,2,0,3,0,0,0,0,0
" "," ","75 years and over",0,0,0,2,1,2,0,0,1,1,2,1,2,0,2,5,2,4,3,1,0,0,0,0,0
" ","Thames-Coromandel District","0-4 years",9,5,8,14,13,15,10,5,6,14,5,7,14,15,13,19,8,7,12,10,5,9,14,19,23
" "," ","5-9 years",8,12,5,5,7,8,4,6,9,7,7,5,6,6,14,14,5,4,7,7,7,12,7,6,18
" "," ","10-14 years",3,6,5,5,8,11,6,4,6,14,7,3,6,10,8,11,10,16,10,12,5,8,7,12,7
" "," ","15-19 years",9,10,8,14,8,11,5,7,6,7,10,7,9,14,4,7,9,11,8,9,12,10,15,15,23
" "," ","20-24 years",21,15,26,15,18,25,22,11,16,28,21,27,14,11,9,7,18,21,14,9,6,13,12,20,20
" "," ","25-29 years",35,30,39,35,33,33,25,25,28,37,35,40,42,27,26,27,31,24,21,19,30,26,30,25,24
" "," ","30-34 years",17,15,13,17,23,24,16,20,14,16,17,25,27,23,25,29,19,16,23,16,16,13,27,20,17
" "," ","35-39 years",6,9,10,16,12,6,6,6,8,9,11,12,16,11,21,15,12,15,16,14,11,11,17,17,19
" "," ","40-44 years",10,8,8,5,13,10,4,9,7,8,10,7,10,11,12,11,9,12,8,10,6,8,10,12,9
" "," ","45-49 years",9,6,6,5,7,3,7,5,6,8,12,12,10,3,7,8,6,7,9,8,4,10,2,9,15
" "," ","50-54 years",3,3,6,7,3,5,1,2,2,5,8,6,9,8,3,6,11,7,10,3,9,7,12,3,10
" "," ","55-59 years",0,3,6,4,4,3,0,5,4,4,10,3,5,4,5,8,2,3,11,9,8,5,11,6,8
" "," ","60-64 years",3,3,2,2,0,1,1,4,2,2,5,5,8,3,2,6,3,7,6,2,10,5,10,10,8
" "," ","65-69 years",0,1,1,3,1,4,1,3,1,2,3,3,3,4,1,0,2,2,3,2,5,1,3,5,8
" "," ","70-74 years",2,0,0,2,1,3,0,0,0,1,0,0,1,0,0,2,0,2,3,1,2,3,0,2,3
" "," ","75 years and over",0,0,1,2,4,0,0,0,2,0,2,0,2,2,3,2,0,3,3,0,1,1,1,1,5
" ","Hauraki District","0-4 years",9,9,5,5,7,7,4,5,5,4,3,8,4,8,6,8,2,8,5,5,7,11,5,11,7
" "," ","5-9 years",10,3,4,3,3,4,3,5,3,2,5,7,3,6,4,8,3,3,9,1,5,6,4,4,5
" "," ","10-14 years",7,2,2,1,4,0,3,4,2,2,2,2,3,4,6,5,3,1,4,3,1,4,3,3,9
" "," ","15-19 years",5,3,4,3,2,10,5,3,3,10,9,5,7,0,11,6,6,7,3,9,3,4,5,10,6
" "," ","20-24 years",12,9,6,6,11,2,5,8,7,3,6,4,9,7,15,11,9,4,7,12,2,5,8,15,9
" "," ","25-29 years",17,14,19,12,13,14,9,17,6,8,17,18,10,10,9,19,17,14,15,17,9,11,9,13,9
" "," ","30-34 years",18,11,4,13,6,7,6,9,8,3,3,5,11,10,8,15,11,15,9,6,7,7,8,11,6
" "," ","35-39 years",13,2,3,7,4,5,6,7,1,4,4,5,8,8,11,9,9,9,7,7,2,7,8,5,6
" "," ","40-44 years",12,1,1,2,4,2,4,0,3,1,2,4,5,2,8,2,3,6,2,4,3,1,6,7,7
" "," ","45-49 years",1,4,4,0,0,1,2,3,1,2,3,3,2,2,0,8,7,3,3,4,6,3,0,2,2
" "," ","50-54 years",3,1,1,3,4,2,2,3,1,1,2,0,4,2,4,5,6,4,2,3,2,1,0,6,4
" "," ","55-59 years",1,1,4,1,0,1,0,1,2,0,0,0,1,1,3,2,5,2,3,1,1,5,2,1,3
" "," ","60-64 years",2,0,0,0,0,2,1,2,0,0,1,0,1,0,2,0,1,4,3,1,3,4,0,4,3
" "," ","65-69 years",1,1,0,0,0,1,0,0,2,0,0,0,4,3,1,0,0,0,1,0,1,1,2,3,2
" "," ","70-74 years",1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,2,1,3,0
" "," ","75 years and over",0,1,0,0,0,1,1,1,1,1,0,0,3,0,0,1,0,1,0,0,0,1,2,1,0
" ","Waikato District","0-4 years",16,8,6,19,12,12,4,10,12,10,9,11,13,8,11,12,17,16,18,24,20,27,23,31,34
" "," ","5-9 years",5,2,3,15,8,8,4,11,5,8,12,8,11,5,8,9,11,18,10,18,18,15,14,26,28
" "," ","10-14 years",11,3,3,11,8,7,0,6,8,8,9,6,13,6,8,10,11,9,9,6,15,13,18,11,24
" "," ","15-19 years",7,8,9,13,13,10,10,11,19,18,27,22,18,7,9,12,6,11,17,11,18,15,18,23,16
" "," ","20-24 years",24,16,11,12,19,22,17,27,30,29,34,38,44,31,39,25,21,15,27,28,21,14,39,53,47
" "," ","25-29 years",30,27,16,21,10,17,19,22,27,27,27,40,48,29,26,33,21,28,25,41,36,24,39,52,73
" "," ","30-34 years",16,9,10,16,9,13,17,20,11,17,16,17,31,20,15,23,22,9,27,21,32,24,30,35,37
" "," ","35-39 years",10,5,9,8,6,14,2,10,7,10,16,12,9,7,23,12,15,31,11,20,10,15,18,19,30
" "," ","40-44 years",9,3,5,7,5,7,4,7,5,3,8,13,9,6,10,8,12,13,13,10,14,14,16,20,21
" "," ","45-49 years",2,2,5,4,4,2,1,3,2,4,5,3,6,8,6,3,8,3,12,5,3,9,7,11,15
" "," ","50-54 years",2,1,2,1,2,2,2,4,3,2,3,2,3,13,4,4,2,4,6,3,5,1,12,12,13
" "," ","55-59 years",2,3,0,2,1,0,1,0,1,3,2,3,5,3,3,1,0,5,3,6,1,5,9,9,10
" "," ","60-64 years",1,1,5,1,1,1,1,1,1,1,3,2,0,1,3,5,1,1,5,7,6,8,5,5,9
" "," ","65-69 years",0,2,0,2,1,3,2,0,1,1,1,0,0,2,3,2,2,2,2,3,3,2,14,7,6
" "," ","70-74 years",0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,2,2,3,3,4,3
" "," ","75 years and over",0,2,0,0,2,2,2,2,0,1,0,0,0,1,1,0,1,0,1,1,2,1,3,3,2
" ","Matamata-Piako District","0-4 years",13,13,7,6,13,17,8,8,12,7,15,8,13,16,4,17,12,12,10,3,7,13,19,17,12
" "," ","5-9 years",6,17,10,5,6,9,8,5,5,5,9,5,10,6,7,9,15,11,8,6,6,5,10,12,14
" "," ","10-14 years",4,7,2,4,8,4,6,5,3,7,5,4,10,7,11,11,6,8,8,7,3,2,9,11,10
" "," ","15-19 years",10,17,15,22,11,21,18,9,10,11,14,13,15,19,15,13,13,12,15,11,10,9,11,9,10
