"Permanent & long-term migration by age, sex and NZ area (Annual-Dec)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Departures","","","","","","","","","","","","","","","","","","","","","","","",""
" "," ","5-9 years",13,13,10,12,14,27,19,29,27,37,31,17,17,21,29,33,38,45,30,26,0,0,0,0,0
" "," ","10-14 years",16,20,17,19,11,22,17,23,15,22,25,19,17,28,23,40,34,43,39,19,0,0,0,0,0
" "," ","15-19 years",24,28,17,21,23,30,25,27,30,30,39,35,30,26,36,43,45,58,50,35,0,0,0,0,0
" "," ","20-24 years",77,62,65,62,68,75,82,79,99,86,69,52,69,94,90,90,123,121,91,65,0,0,0,0,0
" "," ","25-29 years",37,46,41,46,43,71,69,78,73,82,86,81,75,62,78,83,75,105,72,95,0,0,0,0,0
" "," ","30-34 years",35,25,28,23,30,41,47,34,41,49,56,33,41,44,50,46,46,63,54,30,0,0,0,0,0
" "," ","35-39 years",16,21,15,16,21,31,37,29,35,33,40,32,29,35,36,63,43,56,41,35,0,0,0,0,0
" "," ","40-44 years",13,26,9,18,16,23,23,46,22,24,28,26,15,32,27,38,38,61,33,39,0,0,0,0,0
" "," ","45-49 years",12,15,18,11,16,18,11,16,17,30,18,10,17,24,25,30,37,29,30,27,0,0,0,0,0
" "," ","50-54 years",13,2,9,11,8,11,15,14,19,18,19,10,18,19,24,24,32,27,20,24,0,0,0,0,0
" "," ","55-59 years",6,8,10,11,4,5,11,14,19,11,13,14,8,18,19,27,19,23,22,12,0,0,0,0,0
" "," ","60-64 years",2,4,3,6,7,15,10,6,9,12,3,9,5,14,16,12,15,12,11,10,0,0,0,0,0
" "," ","65-69 years",1,5,12,20,6,17,15,16,10,5,4,8,2,8,9,2,4,8,5,7,0,0,0,0,0
" "," ","70-74 years",3,5,5,5,5,8,8,3,8,3,4,3,5,4,4,6,7,1,2,1,0,0,0,0,0
" "," ","75 years and over",3,4,7,2,11,10,3,3,7,3,0,4,5,2,5,5,6,5,4,4,0,0,0,0,0
" ","North Shore City (to 10.2010)","0-4 years",72,104,101,81,77,99,96,99,122,115,120,69,74,101,113,109,146,146,108,122,0,0,0,0,0
" "," ","5-9 years",71,82,73,64,51,92,96,101,114,113,128,74,69,118,100,100,130,142,117,89,0,0,0,0,0
" "," ","10-14 years",58,69,52,58,77,58,90,102,98,93,115,88,91,159,130,116,152,143,121,73,0,0,0,0,0
" "," ","15-19 years",121,98,105,99,92,95,132,121,115,146,140,120,100,155,165,157,196,192,183,138,0,0,0,0,0
" "," ","20-24 years",421,402,331,356,360,436,371,395,346,430,384,312,299,408,396,412,421,442,355,318,0,0,0,0,0
" "," ","25-29 years",255,250,230,228,263,258,305,365,381,379,388,259,222,307,367,328,445,421,358,374,0,0,0,0,0
" "," ","30-34 years",130,166,129,135,142,145,157,200,214,204,237,149,124,189,180,189,233,217,176,171,0,0,0,0,0
" "," ","35-39 years",91,117,91,93,92,115,135,163,145,205,193,111,85,127,161,159,199,210,141,134,0,0,0,0,0
" "," ","40-44 years",81,84,67,69,67,90,106,122,112,134,142,96,55,119,139,158,156,157,129,118,0,0,0,0,0
" "," ","45-49 years",69,73,67,52,53,71,79,84,131,84,109,82,53,94,95,106,114,163,116,88,0,0,0,0,0
" "," ","50-54 years",54,49,49,30,51,51,55,62,85,84,65,52,46,78,64,81,102,111,76,79,0,0,0,0,0
" "," ","55-59 years",31,17,26,28,32,35,36,31,43,49,45,35,29,43,59,53,62,81,62,65,0,0,0,0,0
" "," ","60-64 years",18,11,11,19,17,17,28,14,22,36,32,26,13,19,30,31,38,44,30,36,0,0,0,0,0
" "," ","65-69 years",16,20,20,32,19,27,31,15,30,17,15,19,23,15,14,22,26,18,25,19,0,0,0,0,0
" "," ","70-74 years",7,9,8,12,14,13,17,9,21,11,14,16,6,9,13,21,12,10,17,8,0,0,0,0,0
" "," ","75 years and over",9,11,9,13,19,24,13,6,13,10,10,7,4,13,7,7,5,13,11,14,0,0,0,0,0
" ","Waitakere City (to 10.2010)","0-4 years",74,83,66,92,80,106,117,108,103,114,104,72,45,90,135,119,143,151,107,114,0,0,0,0,0
" "," ","5-9 years",57,58,39,64,55,76,109,117,97,93,75,47,62,67,98,96,81,115,95,67,0,0,0,0,0
" "," ","10-14 years",45,39,41,41,42,51,78,71,82,72,74,50,66,86,103,84,115,115,91,70,0,0,0,0,0
" "," ","15-19 years",73,81,68,68,75,88,97,107,98,104,82,56,70,118,121,118,91,131,146,96,0,0,0,0,0
" "," ","20-24 years",199,172,167,168,187,192,227,221,203,203,216,136,148,204,254,184,184,230,200,196,0,0,0,0,0
" "," ","25-29 years",166,169,138,171,168,168,217,211,209,240,232,145,129,188,221,216,238,236,245,213,0,0,0,0,0
" "," ","30-34 years",115,105,108,99,99,106,127,151,127,137,146,100,74,121,134,156,165,173,110,131,0,0,0,0,0
" "," ","35-39 years",74,58,54,59,78,80,121,108,116,124,119,73,74,82,128,93,127,141,106,102,0,0,0,0,0
" "," ","40-44 years",60,58,40,46,53,62,74,75,85,75,79,39,55,74,88,99,103,101,93,63,0,0,0,0,0
" "," ","45-49 years",31,37,29,30,48,34,58,53,58,63,46,38,45,41,65,44,86,87,62,65,0,0,0,0,0
" "," ","50-54 years",16,21,13,20,30,34,49,48,41,57,50,24,24,35,49,49,46,70,51,57,0,0,0,0,0
" "," ","55-59 years",21,15,16,10,24,31,33,23,21,22,34,29,23,33,51,36,46,44,41,49,0,0,0,0,0
" "," ","60-64 years",10,13,10,9,11,14,23,23,14,20,16,17,11,13,19,17,20,27,30,30,0,0,0,0,0
" "," ","65-69 years",15,14,13,17,25,28,26,15,17,12,10,13,10,18,18,16,22,11,12,9,0,0,0,0,0
" "," ","70-74 years",8,6,5,9,14,10,21,10,13,6,13,7,2,5,8,7,6,11,11,15,0,0,0,0,0
" "," ","75 years and over",8,6,8,11,14,23,11,5,11,6,2,11,12,5,7,5,5,11,9,9,0,0,0,0,0
" ","Auckland City (to 10.2010)","0-4 years",240,278,208,217,249,268,316,328,327,347,391,284,325,298,302,267,340,339,284,260,0,0,0,0,0
" "," ","5-9 years",141,157,146,144,158,175,248,279,317,351,354,244,293,257,246,220,204,266,190,191,0,0,0,0,0
" "," ","10-14 years",117,134,115,122,130,186,171,213,241,286,279,240,315,208,202,187,193,235,173,144,0,0,0,0,0
" "," ","15-19 years",204,215,201,223,242,272,308,331,367,348,346,359,435,350,311,279,320,354,319,220,0,0,0,0,0
" "," ","20-24 years",699,621,552,621,616,659,802,810,776,864,785,828,1067,1013,884,735,778,805,694,660,0,0,0,0,0
" "," ","25-29 years",810,668,565,623,708,821,1038,1157,1204,1181,974,846,939,909,863,834,961,1079,951,1031,0,0,0,0,0
" "," ","30-34 years",502,478,397,427,479,508,594,745,750,861,718,563,585,529,537,542,589,682,534,519,0,0,0,0,0
" "," ","35-39 years",275,264,269,209,303,319,408,511,490,693,660,408,456,381,390,361,456,473,363,339,0,0,0,0,0
" "," ","40-44 years",214,181,187,149,213,248,269,339,308,410,420,253,325,247,301,296,323,361,237,238,0,0,0,0,0
" "," ","45-49 years",124,133,127,124,151,181,193,206,246,278,296,209,178,193,193,207,250,217,202,206,0,0,0,0,0
" "," ","50-54 years",105,86,93,90,107,114,139,166,198,210,217,152,170,145,148,155,171,199,147,133,0,0,0,0,0
" "," ","55-59 years",65,74,66,74,66,77,94,114,107,113,116,116,118,94,92,98,116,128,99,83,0,0,0,0,0
" "," ","60-64 years",37,31,37,53,59,54,69,66,57,86,73,71,80,60,59,55,71,91,57,54,0,0,0,0,0
" "," ","65-69 years",29,32,53,41,48,51,61,35,59,71,57,56,47,43,38,35,44,37,33,40,0,0,0,0,0
" "," ","70-74 years",17,23,16,21,26,34,37,29,37,31,31,28,32,34,28,15,26,31,13,18,0,0,0,0,0
" "," ","75 years and over",18,14,16,37,29,56,37,34,28,25,35,23,21,22,25,14,20,27,16,22,0,0,0,0,0
" ","Manukau City (to 10.2010)","0-4 years",212,190,181,171,215,182,241,238,232,223,260,159,159,213,267,286,296,340,332,268,0,0,0,0,0
" "," ","5-9 years",134,129,104,142,162,140,236,225,238,204,229,166,114,200,259,234,240,293,250,198,0,0,0,0,0
" "," ","10-14 years",104,128,117,136,143,128,186,187,160,186,174,137,155,190,276,244,254,304,223,187,0,0,0,0,0
" "," ","15-19 years",164,177,178,171,182,168,214,192,191,238,200,177,179,213,263,259,298,351,312,223,0,0,0,0,0
" "," ","20-24 years",410,370,304,340,373,338,390,383,356,370,359,292,275,320,369,360,370,485,387,366,0,0,0,0,0
" "," ","25-29 years",304,283,283,233,271,264,356,366,380,427,413,274,220,314,364,374,439,472,376,352,0,0,0,0,0
" "," ","30-34 years",188,180,169,172,189,190,205,243,255,268,274,170,135,217,268,246,275,281,223,222,0,0,0,0,0
" "," ","35-39 years",126,129,112,119,143,145,182,200,199,217,228,149,119,154,191,192,244,307,224,195,0,0,0,0,0
" "," ","40-44 years",107,75,76,106,94,96,149,150,169,160,208,121,116,131,172,185,202,228,174,183,0,0,0,0,0
" "," ","45-49 years",67,73,75,74,86,90,104,111,125,103,107,68,65,80,117,110,144,153,135,128,0,0,0,0,0
" "," ","50-54 years",72,51,45,61,37,66,71,87,79,100,102,66,53,61,91,93,98,106,122,101,0,0,0,0,0
" "," ","55-59 years",26,45,35,43,52,63,55,60,65,72,52,52,34,53,52,59,76,86,75,60,0,0,0,0,0
" "," ","60-64 years",23,26,24,30,37,34,38,41,35,46,49,31,26,35,31,42,42,51,58,46,0,0,0,0,0
" "," ","65-69 years",20,27,28,31,31,31,51,25,31,30,25,40,26,26,36,32,39,40,25,21,0,0,0,0,0
" "," ","70-74 years",15,14,20,13,24,25,29,18,26,24,25,16,16,16,20,16,26,15,13,21,0,0,0,0,0
" "," ","75 years and over",14,14,14,25,29,35,19,13,14,23,9,16,11,11,21,17,19,13,14,14,0,0,0,0,0
" ","Papakura District (to 10.2010)","0-4 years",29,19,25,11,18,27,27,30,20,26,14,12,20,21,25,23,33,38,36,16,0,0,0,0,0
" "," ","5-9 years",15,7,18,10,20,21,32,28,27,20,16,12,10,29,29,17,27,40,29,21,0,0,0,0,0
" "," ","10-14 years",7,6,10,8,13,16,16,16,21,20,11,10,14,17,18,21,34,29,27,20,0,0,0,0,0
" "," ","15-19 years",19,17,24,32,25,15,19,25,20,19,26,18,27,25,42,29,38,45,32,24,0,0,0,0,0
" "," ","20-24 years",78,52,75,70,61,63,73,56,71,58,55,43,39,61,59,54,52,63,52,46,0,0,0,0,0
" "," ","25-29 years",48,42,36,30,46,51,56,67,64,56,61,52,43,50,53,56,52,79,30,44,0,0,0,0,0
" "," ","30-34 years",32,15,23,20,30,29,38,33,34,34,45,24,34,22,45,41,35,36,31,25,0,0,0,0,0
" "," ","35-39 years",19,15,21,12,11,15,35,26,37,31,26,17,17,20,18,23,30,30,33,17,0,0,0,0,0
" "," ","40-44 years",17,10,9,10,12,18,10,15,12,11,12,14,14,18,13,18,24,34,16,12,0,0,0,0,0
" "," ","45-49 years",13,12,8,10,4,9,16,19,19,9,13,8,9,9,11,17,14,16,21,14,0,0,0,0,0
" "," ","50-54 years",3,8,7,8,4,6,18,7,14,13,10,12,8,7,15,12,20,15,8,7,0,0,0,0,0
" "," ","55-59 years",6,2,7,9,4,8,6,6,13,8,7,9,3,13,6,16,15,13,11,5,0,0,0,0,0
" "," ","60-64 years",4,1,3,1,2,3,2,2,10,1,4,1,3,3,11,4,8,8,5,2,0,0,0,0,0
" "," ","65-69 years",2,3,2,2,6,2,2,7,3,3,3,2,0,1,6,1,3,5,0,2,0,0,0,0,0
" "," ","70-74 years",1,1,1,2,2,1,2,2,2,1,2,1,3,1,1,2,0,1,0,1,0,0,0,0,0
" "," ","75 years and over",0,2,2,0,4,4,2,0,3,1,0,3,3,1,0,2,3,2,1,0,0,0,0,0,0
" ","Franklin District (to 10.2010)","0-4 years",20,14,14,8,21,18,18,28,22,15,14,13,17,15,28,17,38,31,27,27,0,0,0,0,0
" "," ","5-9 years",11,10,11,8,15,20,22,22,11,30,18,14,7,17,19,13,24,33,19,14,0,0,0,0,0
" "," ","10-14 years",17,7,11,11,13,18,11,12,24,23,14,12,8,16,23,14,22,36,25,20,0,0,0,0,0
" "," ","15-19 years",18,16,14,28,23,21,23,27,33,15,23,20,18,22,40,32,33,41,31,38,0,0,0,0,0
" "," ","20-24 years",58,44,34,51,57,49,57,62,69,76,60,59,56,48,78,65,74,81,66,67,0,0,0,0,0
" "," ","25-29 years",38,26,23,45,34,40,67,46,57,67,57,65,50,60,43,63,52,70,58,58,0,0,0,0,0
" "," ","30-34 years",22,20,17,18,24,24,29,22,30,19,27,25,15,31,36,30,29,38,24,28,0,0,0,0,0
" "," ","35-39 years",14,11,10,15,15,27,18,27,13,32,23,12,13,28,18,30,29,31,16,34,0,0,0,0,0
" "," ","40-44 years",8,5,7,11,11,12,15,13,22,16,10,13,8,18,19,14,26,33,17,17,0,0,0,0,0
" "," ","45-49 years",4,3,7,5,8,9,12,8,8,9,10,8,3,6,11,20,14,28,21,17,0,0,0,0,0
" "," ","50-54 years",5,4,4,5,3,8,7,11,12,10,5,3,4,7,6,7,15,15,10,11,0,0,0,0,0
" "," ","55-59 years",1,1,2,4,1,3,9,5,4,11,6,3,10,9,7,14,8,15,13,8,0,0,0,0,0
" "," ","60-64 years",2,2,0,2,5,4,3,3,8,3,3,2,5,1,4,5,7,6,2,3,0,0,0,0,0
" "," ","65-69 years",1,0,3,0,1,5,6,2,2,1,2,3,1,3,2,2,2,2,2,2,0,0,0,0,0
" "," ","70-74 years",1,0,2,1,0,4,3,2,2,2,0,1,3,2,4,3,1,1,1,0,0,0,0,0,0
" "," ","75 years and over",1,0,0,1,3,2,7,0,2,1,0,1,0,1,1,4,1,1,5,0,0,0,0,0,0
" ","Thames-Coromandel District","0-4 years",3,4,7,9,11,6,10,19,7,6,9,10,8,4,12,5,10,15,8,6,12,8,6,13,4
" "," ","5-9 years",4,4,9,4,12,9,13,14,13,8,6,7,3,13,8,3,9,7,6,6,8,6,6,6,9
" "," ","10-14 years",6,8,7,3,4,8,8,6,7,9,7,5,6,10,9,4,7,9,3,5,20,14,9,9,2
" "," ","15-19 years",6,9,16,11,15,16,7,12,12,18,9,7,8,8,8,13,12,16,9,13,14,24,24,10,16
" "," ","20-24 years",21,20,18,30,35,32,42,33,35,46,38,23,38,27,37,34,28,36,30,30,38,35,26,28,14
" "," ","25-29 years",15,12,9,11,27,27,19,36,37,42,40,37,23,33,33,33,52,36,38,30,37,25,25,25,14
" "," ","30-34 years",14,8,9,12,11,13,14,19,25,18,14,12,16,20,14,16,12,22,14,13,17,19,18,8,7
" "," ","35-39 years",11,4,11,6,6,13,14,12,8,10,17,14,9,10,10,11,10,19,15,18,14,11,10,10,9
" "," ","40-44 years",14,6,8,8,8,7,7,10,16,13,9,7,6,5,12,4,11,17,9,10,14,7,10,5,5
" "," ","45-49 years",4,3,4,3,5,8,6,10,14,13,9,6,9,7,5,5,12,12,8,8,11,13,5,10,5
" "," ","50-54 years",4,3,4,2,9,2,4,11,5,5,13,2,6,7,7,5,4,16,13,3,10,6,8,3,1
" "," ","55-59 years",2,2,5,1,6,5,1,4,3,4,4,1,2,12,4,4,10,13,6,14,13,8,3,4,10
" "," ","60-64 years",0,2,2,2,3,2,3,0,2,8,2,4,2,4,3,2,2,6,5,9,4,7,5,3,3
" "," ","65-69 years",3,0,1,3,4,3,8,4,5,0,3,2,2,3,1,0,1,1,1,1,3,4,2,4,3
" "," ","70-74 years",4,2,1,1,2,2,0,2,1,1,2,2,1,1,1,0,3,0,0,2,1,0,5,1,1
" "," ","75 years and over",0,2,1,0,1,1,1,3,4,2,1,1,2,2,1,1,0,0,1,1,3,0,0,1,2
" ","Hauraki District","0-4 years",7,5,3,8,3,5,4,3,11,5,9,4,3,2,12,3,10,11,10,3,19,11,2,4,4
" "," ","5-9 years",4,5,9,5,6,4,4,8,10,2,5,6,0,2,9,5,5,8,10,5,9,3,2,3,1
" "," ","10-14 years",3,5,5,7,8,4,5,6,3,3,7,5,3,6,8,5,8,10,6,6,10,2,8,3,3
" "," ","15-19 years",11,11,7,5,10,10,5,4,8,7,10,7,5,13,13,7,16,10,10,9,18,10,12,7,10
" "," ","20-24 years",11,19,13,19,25,26,14,18,23,10,18,17,12,21,18,20,17,28,25,15,32,28,8,20,17
" "," ","25-29 years",18,9,10,18,20,15,14,18,15,17,21,19,11,17,27,14,24,18,14,12,23,16,8,13,8
" "," ","30-34 years",8,4,7,12,3,5,8,11,9,6,9,4,5,6,8,11,7,11,4,12,6,5,4,8,3
" "," ","35-39 years",1,5,3,8,6,4,6,9,4,7,7,4,4,5,13,10,12,8,6,6,15,8,2,4,5
" "," ","40-44 years",1,3,3,6,9,4,2,0,4,6,6,3,4,4,3,4,3,8,9,7,7,1,2,2,1
" "," ","45-49 years",3,3,2,2,3,9,2,2,3,2,5,1,5,4,7,3,9,7,8,4,4,3,3,0,2
" "," ","50-54 years",0,0,3,0,1,3,2,2,3,1,1,4,3,4,4,6,3,2,1,6,3,4,4,5,1
" "," ","55-59 years",4,1,2,0,0,0,2,2,1,1,1,0,3,4,4,2,4,4,5,4,1,3,3,2,2
" "," ","60-64 years",0,2,0,1,0,1,1,0,1,1,0,1,0,1,3,2,2,1,0,2,0,1,3,1,2
" "," ","65-69 years",1,2,1,2,2,1,2,0,1,2,1,0,0,0,1,0,1,1,0,1,1,0,1,2,1
" "," ","70-74 years",0,0,0,1,1,3,0,1,0,0,0,2,0,1,0,1,1,0,0,1,0,0,1,0,2
" "," ","75 years and over",0,1,1,1,1,1,0,2,1,0,3,0,0,1,0,2,0,1,1,2,0,0,0,1,0
" ","Waikato District","0-4 years",11,12,10,13,13,4,9,12,15,13,16,7,9,23,23,21,15,16,17,33,39,35,32,20,23
" "," ","5-9 years",11,10,10,5,11,8,3,8,19,14,9,10,10,21,20,10,18,17,14,25,31,25,27,20,17
" "," ","10-14 years",7,8,9,4,12,14,11,11,11,6,13,7,7,10,17,10,20,23,12,23,17,18,31,18,12
" "," ","15-19 years",10,12,16,14,13,19,16,21,18,27,30,22,26,16,29,30,29,23,36,42,45,54,42,38,36
" "," ","20-24 years",48,31,34,36,35,36,20,54,41,34,36,23,30,34,24,36,39,44,30,70,89,125,70,53,55
" "," ","25-29 years",17,17,18,13,22,22,31,34,36,54,38,20,21,38,28,26,37,33,30,47,52,54,67,44,65
" "," ","30-34 years",11,9,11,8,17,9,19,15,18,16,21,19,15,19,20,23,14,26,28,20,40,43,30,23,22
" "," ","35-39 years",1,9,7,5,5,9,9,9,8,9,11,5,7,11,17,11,19,19,14,19,30,22,16,12,11
" "," ","40-44 years",6,5,4,4,8,9,7,4,6,9,10,12,8,8,14,10,16,15,10,13,22,15,17,17,16
" "," ","45-49 years",3,4,4,6,2,2,5,4,7,6,4,3,3,7,8,9,13,12,7,3,25,24,14,12,8
" "," ","50-54 years",3,0,3,5,1,4,5,3,3,6,4,1,5,3,5,7,7,8,5,9,15,19,16,6,9
" "," ","55-59 years",2,1,0,1,2,2,5,3,4,0,4,1,2,7,5,7,7,6,5,8,8,18,14,8,7
" "," ","60-64 years",2,2,1,3,1,4,0,1,1,1,0,2,1,0,2,2,3,0,5,5,4,4,7,6,6
" "," ","65-69 years",2,2,1,1,2,1,2,3,1,0,2,1,1,0,2,2,1,1,0,0,2,6,3,2,3
" "," ","70-74 years",2,0,1,0,1,3,0,1,1,0,2,1,1,0,2,1,0,2,1,1,2,1,0,3,2
" "," ","75 years and over",0,0,2,3,0,0,0,1,0,1,0,0,1,0,0,0,0,2,2,2,1,5,3,1,2
" ","Matamata-Piako District","0-4 years",3,9,8,9,8,8,12,6,15,5,6,10,7,8,17,5,8,10,8,6,25,14,8,5,6
" "," ","5-9 years",8,5,2,8,3,11,6,11,15,11,10,5,5,5,10,14,6,14,3,6,12,12,8,10,2
" "," ","10-14 years",3,3,8,8,4,9,9,7,6,12,7,10,7,14,15,10,16,10,4,10,20,7,6,2,2
" "," ","15-19 years",7,11,15,16,12,5,16,24,9,17,19,21,18,13,16,18,20,18,16,15,6,17,13,11,6
" "," ","20-24 years",42,26,36,47,47,50,50,49,59,57,33,32,29,24,34,33,45,44,31,38,42,46,38,28,31
" "," ","25-29 years",27,26,16,25,26,29,34,33,50,42,37,41,37,36,38,24,44,47,20,26,47,36,29,23,33
" "," ","30-34 years",12,14,8,17,15,13,9,21,23,18,11,10,18,15,11,13,22,11,11,19,10,12,12,6,9
" "," ","35-39 years",4,3,8,7,6,11,15,14,15,13,10,10,14,9,11,9,17,9,8,11,15,6,12,4,6
" "," ","40-44 years",5,2,5,5,5,10,10,5,12,7,12,10,6,5,11,11,13,16,11,7,13,10,8,5,10
" "," ","45-49 years",1,1,3,1,4,4,0,6,1,5,5,4,3,6,10,10,8,8,5,2,7,14,9,6,2
" "," ","50-54 years",1,2,2,3,1,2,6,1,5,5,5,8,3,3,8,3,4,8,5,6,4,5,7,4,4
" "," ","55-59 years",1,0,2,4,1,0,0,2,0,5,2,3,2,4,3,2,4,2,2,3,5,4,4,1,2
" "," ","60-64 years",0,0,0,1,3,2,1,1,0,6,1,3,1,1,1,1,3,0,1,3,2,4,2,2,3
" "," ","65-69 years",1,2,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,2,1,0,1,1,1
" "," ","70-74 years",0,0,0,1,0,1,1,1,2,0,0,0,1,1,1,1,1,0,0,1,0,1,2,1,1
" "," ","75 years and over",0,0,0,1,4,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,1,1,0,1
" ","Hamilton City","0-4 years",31,56,42,45,44,70,50,88,90,84,74,60,48,76,61,73,77,105,75,81,85,107,85,46,51
" "," ","5-9 years",36,29,32,38,34,41,44,61,90,99,55,36,40,56,68,60,82,86,79,67,81,80,67,32,47
" "," ","10-14 years",27,32,36,28,23,48,40,63,62,63,59,42,61,65,64,55,66,102,75,61,75,85,59,51,29
" "," ","15-19 years",40,62,83,62,65,82,58,70,90,98,114,109,108,111,118,120,139,147,138,104,135,117,110,88,73
" "," ","20-24 years",177,174,197,195,205,206,209,244,253,252,225,196,206,227,277,242,232,267,224,241,266,280,255,175,204
" "," ","25-29 years",163,135,112,143,169,189,213,209,262,289,220,198,195,201,234,206,207,253,196,226,280,229,187,176,163
" "," ","30-34 years",56,58,55,68,68,81,90,106,113,150,127,89,74,97,87,103,126,121,96,100,129,124,123,74,90
" "," ","35-39 years",44,40,47,36,41,46,56,86,93,98,84,54,48,58,83,79,86,100,74,84,79,107,64,52,59
" "," ","40-44 years",32,25,30,20,28,31,43,65,73,65,49,38,37,51,53,55,80,84,62,60,64,89,56,38,44
" "," ","45-49 years",21,18,18,28,25,29,44,48,46,67,51,35,30,47,42,51,59,61,54,64,91,59,37,23,30
" "," ","50-54 years",17,20,19,11,21,18,20,31,33,29,42,39,31,41,45,44,47,47,36,41,64,52,34,25,19
" "," ","55-59 years",8,7,10,11,11,18,15,15,14,26,17,27,23,17,32,35,37,35,26,30,37,42,21,14,21
" "," ","60-64 years",7,8,5,8,8,7,7,6,12,9,12,9,12,17,12,19,19,21,17,17,23,20,25,17,10
" "," ","65-69 years",11,9,11,9,9,9,9,8,11,9,7,10,4,13,7,6,8,4,13,7,6,13,11,10,13
" "," ","70-74 years",9,4,4,5,7,7,3,7,13,8,6,2,4,2,6,5,4,6,2,4,2,3,8,2,4
" "," ","75 years and over",3,6,1,8,6,9,5,2,7,5,4,1,3,2,5,3,4,3,3,4,6,2,4,8,4
" ","Waipa District","0-4 years",6,10,9,14,9,15,18,17,15,14,15,12,4,11,19,13,18,21,11,25,34,30,22,10,10
" "," ","5-9 years",7,10,3,12,8,14,14,12,19,13,25,7,16,11,23,16,16,20,10,10,20,16,18,14,10
" "," ","10-14 years",4,11,5,6,7,5,17,7,8,12,10,7,8,9,17,16,19,21,7,12,23,18,14,10,6
" "," ","15-19 years",24,36,10,29,39,44,40,37,65,48,44,21,19,21,29,19,40,29,40,23,35,38,36,28,22
" "," ","20-24 years",59,64,48,59,85,89,97,84,85,89,80,53,50,53,72,52,71,72,60,71,103,107,77,39,57
" "," ","25-29 years",34,33,25,34,43,40,52,54,67,71,66,54,59,59,57,48,71,58,41,41,68,57,43,43,51
" "," ","30-34 years",16,9,10,18,16,21,18,35,26,27,24,24,29,24,25,32,23,31,15,32,30,28,19,14,13
" "," ","35-39 years",6,5,7,11,11,19,24,18,11,19,19,19,9,13,21,12,27,21,11,14,24,29,20,8,9
" "," ","40-44 years",2,7,4,8,15,9,9,8,22,11,10,6,9,11,17,11,23,16,20,16,25,19,14,12,7
" "," ","45-49 years",6,1,5,5,4,5,7,9,8,18,15,11,8,10,13,9,9,18,10,17,12,19,14,9,7
" "," ","50-54 years",7,0,3,1,5,9,6,10,6,8,11,11,5,11,13,10,11,15,12,14,18,19,15,2,8
" "," ","55-59 years",2,1,2,2,1,4,2,4,2,4,3,6,2,3,4,10,14,10,9,13,13,14,12,6,7
" "," ","60-64 years",0,4,1,1,2,1,2,3,6,1,3,1,2,3,5,3,7,0,2,6,4,7,2,2,1
" "," ","65-69 years",4,5,0,3,3,1,1,2,1,3,1,0,0,1,5,0,2,2,2,0,5,4,2,3,2
" "," ","70-74 years",1,5,3,0,2,2,3,1,1,1,1,2,0,0,0,1,2,2,2,0,2,0,4,0,1
" "," ","75 years and over",2,0,0,4,1,3,1,0,0,1,0,1,0,1,2,1,2,0,0,1,1,1,0,3,0
" ","Otorohanga District","0-4 years",0,0,1,1,1,4,0,4,3,0,1,2,0,1,1,3,3,6,2,5,6,4,2,0,4
" "," ","5-9 years",0,1,2,1,1,4,2,3,5,0,0,0,0,0,5,0,0,3,1,0,5,2,4,5,0
" "," ","10-14 years",0,0,1,2,0,1,0,2,4,3,4,1,0,1,2,1,0,2,0,1,3,2,1,1,0
" "," ","15-19 years",3,2,1,1,3,4,3,3,5,2,5,5,1,1,3,4,5,3,2,6,7,5,2,2,4
" "," ","20-24 years",9,14,11,7,13,6,7,10,13,7,9,11,11,5,10,7,7,9,4,6,9,11,10,6,12
" "," ","25-29 years",4,7,3,7,6,6,4,11,6,8,7,5,3,8,3,3,2,8,3,5,6,8,3,2,9
" "," ","30-34 years",0,1,4,0,1,3,4,7,7,5,3,4,1,1,2,1,1,3,2,3,4,3,4,1,3
" "," ","35-39 years",2,2,0,1,0,2,1,2,1,1,2,3,0,2,2,2,0,3,2,2,4,3,4,1,0
" "," ","40-44 years",0,0,0,0,1,0,0,0,4,0,1,0,0,1,0,0,1,3,0,3,4,0,2,1,3
" "," ","45-49 years",1,1,1,0,0,0,1,3,0,1,2,3,2,0,0,3,3,2,1,2,1,3,0,0,0
" "," ","50-54 years",0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,4,0,4,2,2,0,0,0
" "," ","55-59 years",0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,2
" "," ","60-64 years",1,0,0,0,0,1,0,1,1,0,0,0,2,0,0,1,0,0,0,0,3,1,0,0,0
" "," ","65-69 years",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
" "," ","70-74 years",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
" "," ","75 years and over",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","South Waikato District","0-4 years",7,11,4,9,18,7,3,19,12,13,11,9,11,13,11,15,10,27,19,14,13,21,15,4,8
" "," ","5-9 years",8,9,13,6,9,4,6,23,11,14,18,12,7,7,17,11,10,16,10,9,16,9,12,7,5
