Area,Age,Sex,Year at 30 June,Value,Flags
"Bay of Plenty region","10-14 Years","Female","2012",10030,
"Bay of Plenty region","10-14 Years","Female","2013",9870,
"Bay of Plenty region","10-14 Years","Female","2014",9820,
"Gisborne region","10-14 Years","Male","2006",2140,
"Gisborne region","10-14 Years","Male","2007",2010,
"Gisborne region","10-14 Years","Male","2008",1980,
"Gisborne region","10-14 Years","Male","2009",1980,
"Gisborne region","10-14 Years","Male","2010",1980,
"Gisborne region","10-14 Years","Male","2011",2000,
"Gisborne region","10-14 Years","Male","2012",2030,
"Gisborne region","10-14 Years","Male","2013",2040,
"Gisborne region","10-14 Years","Male","2014",2060,
"Gisborne region","10-14 Years","Female","2006",2050,
"Gisborne region","10-14 Years","Female","2007",2020,
"Gisborne region","10-14 Years","Female","2008",1940,
"Gisborne region","10-14 Years","Female","2009",1930,
"Gisborne region","10-14 Years","Female","2010",1910,
"Gisborne region","10-14 Years","Female","2011",1910,
"Gisborne region","10-14 Years","Female","2012",1850,
"Gisborne region","10-14 Years","Female","2013",1820,
"Gisborne region","10-14 Years","Female","2014",1820,
"Hawke's Bay region","10-14 Years","Male","2006",6380,
"Hawke's Bay region","10-14 Years","Male","2007",6210,
"Hawke's Bay region","10-14 Years","Male","2008",6160,
"Hawke's Bay region","10-14 Years","Male","2009",6140,
"Hawke's Bay region","10-14 Years","Male","2010",6160,
"Hawke's Bay region","10-14 Years","Male","2011",6100,
"Hawke's Bay region","10-14 Years","Male","2012",6030,
"Hawke's Bay region","10-14 Years","Male","2013",5850,
"Hawke's Bay region","10-14 Years","Male","2014",5840,
"Hawke's Bay region","10-14 Years","Female","2006",5990,
"Hawke's Bay region","10-14 Years","Female","2007",5830,
"Hawke's Bay region","10-14 Years","Female","2008",5790,
"Hawke's Bay region","10-14 Years","Female","2009",5750,
"Hawke's Bay region","10-14 Years","Female","2010",5880,
"Hawke's Bay region","10-14 Years","Female","2011",5830,
"Hawke's Bay region","10-14 Years","Female","2012",5820,
"Hawke's Bay region","10-14 Years","Female","2013",5740,
"Hawke's Bay region","10-14 Years","Female","2014",5720,
"Taranaki region","10-14 Years","Male","2006",4270,
"Taranaki region","10-14 Years","Male","2007",4060,
"Taranaki region","10-14 Years","Male","2008",3990,
"Taranaki region","10-14 Years","Male","2009",3950,
"Taranaki region","10-14 Years","Male","2010",4000,
"Taranaki region","10-14 Years","Male","2011",4050,
"Taranaki region","10-14 Years","Male","2012",4040,
"Taranaki region","10-14 Years","Male","2013",4020,
"Taranaki region","10-14 Years","Male","2014",3950,
"Taranaki region","10-14 Years","Female","2006",4110,
"Taranaki region","10-14 Years","Female","2007",3910,
"Taranaki region","10-14 Years","Female","2008",3840,
"Taranaki region","10-14 Years","Female","2009",3850,
"Taranaki region","10-14 Years","Female","2010",3890,
"Taranaki region","10-14 Years","Female","2011",3910,
"Taranaki region","10-14 Years","Female","2012",3910,
"Taranaki region","10-14 Years","Female","2013",3830,
"Taranaki region","10-14 Years","Female","2014",3760,
"Manawatu-Wanganui region","10-14 Years","Male","2006",9100,
"Manawatu-Wanganui region","10-14 Years","Male","2007",8820,
"Manawatu-Wanganui region","10-14 Years","Male","2008",8620,
"Manawatu-Wanganui region","10-14 Years","Male","2009",8560,
"Manawatu-Wanganui region","10-14 Years","Male","2010",8540,
"Manawatu-Wanganui region","10-14 Years","Male","2011",8400,
"Manawatu-Wanganui region","10-14 Years","Male","2012",8220,
"Manawatu-Wanganui region","10-14 Years","Male","2013",8060,
"Manawatu-Wanganui region","10-14 Years","Male","2014",7910,
"Manawatu-Wanganui region","10-14 Years","Female","2006",8670,
"Manawatu-Wanganui region","10-14 Years","Female","2007",8490,
"Manawatu-Wanganui region","10-14 Years","Female","2008",8270,
"Manawatu-Wanganui region","10-14 Years","Female","2009",8120,
"Manawatu-Wanganui region","10-14 Years","Female","2010",8020,
"Manawatu-Wanganui region","10-14 Years","Female","2011",8000,
"Manawatu-Wanganui region","10-14 Years","Female","2012",7830,
"Manawatu-Wanganui region","10-14 Years","Female","2013",7680,
"Manawatu-Wanganui region","10-14 Years","Female","2014",7600,
"Wellington region","10-14 Years","Male","2006",16400,
"Wellington region","10-14 Years","Male","2007",16220,
"Wellington region","10-14 Years","Male","2008",16090,
"Wellington region","10-14 Years","Male","2009",15930,
"Wellington region","10-14 Years","Male","2010",15910,
"Wellington region","10-14 Years","Male","2011",15930,
"Wellington region","10-14 Years","Male","2012",15830,
"Wellington region","10-14 Years","Male","2013",15700,
"Wellington region","10-14 Years","Male","2014",15690,
"Wellington region","10-14 Years","Female","2006",15760,
"Wellington region","10-14 Years","Female","2007",15570,
"Wellington region","10-14 Years","Female","2008",15290,
"Wellington region","10-14 Years","Female","2009",15170,
"Wellington region","10-14 Years","Female","2010",15210,
"Wellington region","10-14 Years","Female","2011",15270,
"Wellington region","10-14 Years","Female","2012",15180,
"Wellington region","10-14 Years","Female","2013",15040,
"Wellington region","10-14 Years","Female","2014",15070,
"Tasman region","10-14 Years","Male","2006",1880,
"Tasman region","10-14 Years","Male","2007",1850,
"Tasman region","10-14 Years","Male","2008",1800,
"Tasman region","10-14 Years","Male","2009",1810,
"Tasman region","10-14 Years","Male","2010",1850,
"Tasman region","10-14 Years","Male","2011",1870,
"Tasman region","10-14 Years","Male","2012",1840,
"Tasman region","10-14 Years","Male","2013",1800,
"Tasman region","10-14 Years","Male","2014",1810,
"Tasman region","10-14 Years","Female","2006",1670,
"Tasman region","10-14 Years","Female","2007",1580,
"Tasman region","10-14 Years","Female","2008",1590,
"Tasman region","10-14 Years","Female","2009",1540,
"Tasman region","10-14 Years","Female","2010",1570,
"Tasman region","10-14 Years","Female","2011",1610,
"Tasman region","10-14 Years","Female","2012",1670,
"Tasman region","10-14 Years","Female","2013",1680,
"Tasman region","10-14 Years","Female","2014",1760,
"Nelson region","10-14 Years","Male","2006",1590,
"Nelson region","10-14 Years","Male","2007",1530,
"Nelson region","10-14 Years","Male","2008",1510,
"Nelson region","10-14 Years","Male","2009",1510,
"Nelson region","10-14 Years","Female","2006",1510,
"Nelson region","10-14 Years","Female","2007",1420,
"Nelson region","10-14 Years","Female","2008",1430,
"Nelson region","10-14 Years","Female","2009",1410,
"West Coast region","10-14 Years","Male","2006",1270,
"West Coast region","10-14 Years","Male","2007",1180,
"West Coast region","10-14 Years","Female","2006",1220,
"West Coast region","10-14 Years","Female","2007",1160,
"Otago region","10-14 Years","Male","2006",6360,
"Otago region","10-14 Years","Male","2007",6240,
"Otago region","10-14 Years","Male","2008",6200,
"Otago region","10-14 Years","Male","2009",6200,
"Otago region","10-14 Years","Male","2010",6200,
"Otago region","10-14 Years","Male","2011",6270,
"Otago region","10-14 Years","Male","2012",6280,
"Otago region","10-14 Years","Male","2013",6210,
"Otago region","10-14 Years","Male","2014",6180,
"Otago region","10-14 Years","Female","2006",6030,
"Otago region","10-14 Years","Female","2007",5870,
"Otago region","10-14 Years","Female","2008",5810,
"Otago region","10-14 Years","Female","2009",5760,
"Otago region","10-14 Years","Female","2010",5790,
"Otago region","10-14 Years","Female","2011",5830,
"Otago region","10-14 Years","Female","2012",5870,
"Otago region","10-14 Years","Female","2013",5830,
"Otago region","10-14 Years","Female","2014",5870,
"Southland region","10-14 Years","Male","2006",3730,
"Southland region","10-14 Years","Male","2007",3540,
"Southland region","10-14 Years","Male","2008",3410,
"Southland region","10-14 Years","Male","2009",3350,
"Southland region","10-14 Years","Male","2010",3360,
"Southland region","10-14 Years","Male","2011",3340,
"Southland region","10-14 Years","Male","2012",3370,
"Southland region","10-14 Years","Male","2013",3310,
"Southland region","10-14 Years","Male","2014",3280,
"Southland region","10-14 Years","Female","2006",3310,
"Southland region","10-14 Years","Female","2007",3220,
"Southland region","10-14 Years","Female","2008",3190,
"Southland region","10-14 Years","Female","2009",3160,
"Southland region","10-14 Years","Female","2010",3210,
"Southland region","10-14 Years","Female","2011",3220,
"Southland region","10-14 Years","Female","2012",3190,
"Southland region","10-14 Years","Female","2013",3160,
"Southland region","10-14 Years","Female","2014",3140,
"Area outside region","10-14 Years","Male","2006",20,
"Area outside region","10-14 Years","Male","2007",20,
"Area outside region","10-14 Years","Male","2008",20,
"Area outside region","10-14 Years","Male","2009",20,
"Area outside region","10-14 Years","Male","2010",25,
"Area outside region","10-14 Years","Male","2011",25,
"Area outside region","10-14 Years","Male","2012",20,
"Area outside region","10-14 Years","Male","2013",15,
"Area outside region","10-14 Years","Male","2014",15,
"Area outside region","10-14 Years","Female","2006",20,
"Area outside region","10-14 Years","Female","2007",20,
"Area outside region","10-14 Years","Female","2008",20,
"Area outside region","10-14 Years","Female","2009",15,
"Area outside region","10-14 Years","Female","2010",15,
"Area outside region","10-14 Years","Female","2011",15,
"Area outside region","10-14 Years","Female","2012",15,
"Area outside region","10-14 Years","Female","2013",15,
"Area outside region","10-14 Years","Female","2014",20,
"Northland region","15-19 Years","Male","2006",5840,
"Northland region","15-19 Years","Male","2007",5930,
"Northland region","15-19 Years","Male","2008",5920,
"Northland region","15-19 Years","Male","2009",5810,
"Northland region","15-19 Years","Male","2010",5850,
"Northland region","15-19 Years","Male","2011",5780,
"Northland region","15-19 Years","Male","2012",5720,
"Northland region","15-19 Years","Male","2013",5750,
"Northland region","15-19 Years","Male","2014",5760,
"Northland region","15-19 Years","Female","2006",5450,
"Northland region","15-19 Years","Female","2007",5560,
"Northland region","15-19 Years","Female","2008",5590,
"Northland region","15-19 Years","Female","2009",5600,
"Northland region","15-19 Years","Female","2010",5510,
"Northland region","15-19 Years","Female","2011",5460,
"Northland region","15-19 Years","Female","2012",5370,
"Northland region","15-19 Years","Female","2013",5300,
"Northland region","15-19 Years","Female","2014",5310,
"Auckland region","15-19 Years","Male","2006",53090,
"Auckland region","15-19 Years","Male","2007",53520,
"Auckland region","15-19 Years","Male","2008",54220,
"Auckland region","15-19 Years","Male","2009",54650,
"Auckland region","15-19 Years","Male","2010",55430,
"Auckland region","15-19 Years","Male","2011",55690,
"Auckland region","15-19 Years","Male","2012",55740,
"Auckland region","15-19 Years","Male","2013",55460,
"Auckland region","15-19 Years","Male","2014",55860,
"Auckland region","15-19 Years","Female","2006",51690,
"Auckland region","15-19 Years","Female","2007",52290,
"Auckland region","15-19 Years","Female","2008",52780,
"Auckland region","15-19 Years","Female","2009",53880,
"Auckland region","15-19 Years","Female","2010",54620,
"Auckland region","15-19 Years","Female","2011",54290,
"Auckland region","15-19 Years","Female","2012",54070,
"Auckland region","15-19 Years","Female","2013",53290,
"Auckland region","15-19 Years","Female","2014",53030,
"Waikato region","15-19 Years","Male","2006",15250,
"Waikato region","15-19 Years","Male","2007",15480,
"Waikato region","15-19 Years","Male","2008",15530,
"Waikato region","15-19 Years","Male","2009",15560,
"Waikato region","15-19 Years","Male","2010",15570,
"Waikato region","15-19 Years","Male","2011",15580,
"Waikato region","15-19 Years","Male","2012",15540,
"Waikato region","15-19 Years","Male","2013",15750,
"Waikato region","15-19 Years","Male","2014",15930,
"Waikato region","15-19 Years","Female","2006",14890,
"Waikato region","15-19 Years","Female","2007",15270,
"Waikato region","15-19 Years","Female","2008",15370,
"Waikato region","15-19 Years","Female","2009",15120,
"Waikato region","15-19 Years","Female","2010",14850,
"Waikato region","15-19 Years","Female","2011",14620,
"Waikato region","15-19 Years","Female","2012",14530,
"Waikato region","15-19 Years","Female","2013",14710,
"Waikato region","15-19 Years","Female","2014",15030,
"Bay of Plenty region","15-19 Years","Male","2006",9840,
"Bay of Plenty region","15-19 Years","Male","2007",9950,
"Bay of Plenty region","15-19 Years","Male","2008",9990,
"Bay of Plenty region","15-19 Years","Male","2009",9890,
"Bay of Plenty region","15-19 Years","Male","2010",9780,
"Bay of Plenty region","15-19 Years","Male","2011",9630,
"Bay of Plenty region","15-19 Years","Male","2012",9540,
"Bay of Plenty region","15-19 Years","Male","2013",9670,
"Bay of Plenty region","15-19 Years","Male","2014",9930,
"Bay of Plenty region","15-19 Years","Female","2006",9360,
"Bay of Plenty region","15-19 Years","Female","2007",9560,
"Bay of Plenty region","15-19 Years","Female","2008",9620,
"Bay of Plenty region","15-19 Years","Female","2009",9530,
"Bay of Plenty region","15-19 Years","Female","2010",9340,
"Bay of Plenty region","15-19 Years","Female","2011",9130,
"Bay of Plenty region","15-19 Years","Female","2012",9010,
"Bay of Plenty region","15-19 Years","Female","2013",9040,
"Bay of Plenty region","15-19 Years","Female","2014",9020,
"Gisborne region","15-19 Years","Male","2006",1900,
"Gisborne region","15-19 Years","Male","2007",1910,
"Gisborne region","15-19 Years","Male","2008",1920,
"Gisborne region","15-19 Years","Male","2009",1860,
"Gisborne region","15-19 Years","Male","2010",1830,
"Gisborne region","15-19 Years","Male","2011",1820,
"Gisborne region","15-19 Years","Male","2012",1760,
"Gisborne region","15-19 Years","Male","2013",1770,
"Gisborne region","15-19 Years","Male","2014",1770,
"Gisborne region","15-19 Years","Female","2006",1770,
"Gisborne region","15-19 Years","Female","2007",1810,
"Gisborne region","15-19 Years","Female","2008",1860,
"Gisborne region","15-19 Years","Female","2009",1780,
"Gisborne region","15-19 Years","Female","2010",1750,
"Gisborne region","15-19 Years","Female","2011",1710,
"Gisborne region","15-19 Years","Female","2012",1700,
"Gisborne region","15-19 Years","Female","2013",1680,
"Gisborne region","15-19 Years","Female","2014",1650,
"Hawke's Bay region","15-19 Years","Male","2006",5740,
